"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"151"	"Culicidae"	"Art1"	"End"	193.418699874182	214.168833997234	231.286350733442
"152"	"Culicidae"	"Art1"	"Onset"	166.695981387291	184.983919518116	198.508365932376
"153"	"Culicidae"	"Art1"	"Peak"	184.379285043464	198.970048278023	212.19043783952
"154"	"Empididae"	"Art1"	"End"	205.371831470583	205.371831470583	205.371831470583
"155"	"Empididae"	"Art1"	"Onset"	184.113677931147	184.113677931147	184.113677931147
"156"	"Empididae"	"Art1"	"Peak"	193.246842749762	193.246842749762	193.246842749762
"157"	"Hymenoptera"	"Art7"	"End"	215.151499167177	217.625787321497	220.100075475816
"158"	"Hymenoptera"	"Art7"	"Onset"	170.884933329727	178.695095698447	186.505258067167
"159"	"Hymenoptera"	"Art7"	"Peak"	195.661023335572	197.71686868147	199.772714027368
"160"	"Ichneumonidae"	"Art1"	"End"	204.767697939854	215.712068903423	227.30631117818
"161"	"Ichneumonidae"	"Art1"	"Onset"	181.607049907474	188.459317947885	196.846205996247
"162"	"Ichneumonidae"	"Art1"	"Peak"	193.381724375053	201.025750999696	211.463573211661
"163"	"Ichneumonidae"	"Art2"	"End"	200.101008706667	215.160625269836	231.14707606965
"164"	"Ichneumonidae"	"Art2"	"Onset"	170.823576787212	186.956310870734	201.039529153569
"165"	"Ichneumonidae"	"Art2"	"Peak"	189.464597181043	199.959606525515	217.325827341422
"166"	"Ichneumonidae"	"Art3"	"End"	229.196460084054	234.234304298823	236.960054487989
"167"	"Ichneumonidae"	"Art3"	"Onset"	187.729861591018	203.006662139122	215.288253929874
"168"	"Ichneumonidae"	"Art3"	"Peak"	206.007930665832	221.78865791163	231.159602391866
"169"	"Ichneumonidae"	"Art4"	"End"	226.523362930705	233.383848385153	236.843012867262
"170"	"Ichneumonidae"	"Art4"	"Onset"	179.155180010927	197.667040898737	211.735835309225
"171"	"Ichneumonidae"	"Art4"	"Peak"	202.135916183155	218.745633672277	230.329830518239
"172"	"Ichneumonidae"	"Art5"	"End"	218.128733124972	229.562164011495	236.12096839771
"173"	"Ichneumonidae"	"Art5"	"Onset"	163.025179284788	186.454268428373	197.985873969551
"174"	"Ichneumonidae"	"Art5"	"Peak"	195.705519475971	209.615702257276	225.683207982388
"175"	"Ichneumonidae"	"Art6"	"End"	234.108144854665	235.650731625823	237.402599089067
"176"	"Ichneumonidae"	"Art6"	"Onset"	208.757036221192	215.778411071397	224.944712160659
"177"	"Ichneumonidae"	"Art6"	"Peak"	222.810045875912	227.496798047432	234.069787121007
"178"	"Ichneumonidae"	"Art7"	"End"	203.374104379325	227.756887804536	232.629576299519
"179"	"Ichneumonidae"	"Art7"	"Onset"	172.675825879954	183.861074349422	196.66786963476
"180"	"Ichneumonidae"	"Art7"	"Peak"	187.931717573928	205.886699815302	214.042701989331
"181"	"Linyphiidae"	"Art1"	"End"	190.947199370548	221.651900740759	235.638756675937
"182"	"Linyphiidae"	"Art1"	"Onset"	155.518284949538	162.513690096751	187.89135152491
"183"	"Linyphiidae"	"Art1"	"Peak"	164.633622859048	189.870821926062	213.376076597315
"184"	"Linyphiidae"	"Art2"	"End"	207.128664312102	225.626980079125	234.568188138116
"185"	"Linyphiidae"	"Art2"	"Onset"	157.806254632575	163.674948426205	175.655440804653
"186"	"Linyphiidae"	"Art2"	"Peak"	179.031264017777	192.073941995892	209.166871095876
"187"	"Linyphiidae"	"Art3"	"End"	219.328090542064	230.929761282398	235.029445296811
